*	*		*	active	active	active	active	passive	passive	passive	passive	#											
*	*		*	indicative	indicative	subjunctive	subjunctive	indicative	indicative	subjunctive	subjunctive	#											
*	*	*	*	singular	plural	singular	plural	singular	plural	singular	plural	#											
inhabit	simple	1	present	atrebā-iū	atrebā-mos	atrebā-n	atrebā-omos	atrebā-iūr	atrebā-mor	atrebā-r	atrebā-omor	#											
inhabit	simple	2	present	atrebā-i	atrebā-te	atrebā-ii	atrebā-ite	atrebā-tar	atrebā-te	atrebā-itar	atrebā-ite	#											
inhabit	simple	3	present	atrebā-t	atrebā-nt	atrebā-it	atrebā-ont	atrebā-tor	atrebā-ntor	atrebā-itor	atrebā-ontor	#											
inhabit	simple	1	future	atrebā-siū	atrebā-siomos	—	—	atrebā-siūr	atrebā-siomor	—	—	#											
inhabit	simple	2	future	atrebā-sies	atrebā-siete	—	—	atrebā-sietar	atrebā-siete	—	—	#											
inhabit	simple	3	future	atrebā-siet	atrebā-siont	—	—	atrebā-sietor	atrebā-siontor	—	—	#											
inhabit	imperfective	1	past	atrebā-nna	atrebā-mes	—	—	atrebā-nnar	atrebā-mor	—	—	#											
inhabit	imperfective	2	past	atrebāt-ās	atrebā-tē	—	—	atrebāt-ār	atrebā-tē	—	—	#											
inhabit	imperfective	3	past	atrebā-to	atrebā-nto	—	—	atrebā-tor	atrebā-ntor	—	—	#											
inhabit	perfective	1	past	atrebā-ssū	atrebā-ssamos	atrebā-ssīn	atrebā-ssīmos	atrebāt-ā/-os immi	atrebāt-ās/-oi emos	atrebāt-ā/-os buiū	atrebāt-ās/-oi buomos	#											
inhabit	perfective	2	past	atrebā-sses	atrebā-ssate	atrebā-ssīs	atrebā-ssītē	atrebāt-ā/-os ei	atrebāt-ās/-oi esue	atrebāt-ā/-os bues	atrebāt-ās/-oi buete	#											
inhabit	perfective	3	past	atrebā-sset	atrebā-ssar	atrebā-ssīt	atrebā-ssīnt	atrebāt-ā/-os essi	atrebāt-ās/-oi sent	atrebāt-ā/-os buet	atrebāt-ās/-oi buont	#											
occupy	simple	1	present	atrebā-iū	atrebā-mos	atrebā-n	atrebā-omos	atrebā-iūr	atrebā-mor	atrebā-r	atrebā-omor	#	A1										
occupy	simple	2	present	atrebā-i	atrebā-te	atrebā-ii	atrebā-ite	atrebā-tar	atrebā-te	atrebā-itar	atrebā-ite	#											
occupy	simple	3	present	atrebā-t	atrebā-nt	atrebā-it	atrebā-ont	atrebā-tor	atrebā-ntor	atrebā-itor	atrebā-ontor	#											
occupy	simple	1	future	atrebā-siū	atrebā-siomos	—	—	atrebā-siūr	atrebā-siomor	—	—	#											
occupy	simple	2	future	atrebā-sies	atrebā-siete	—	—	atrebā-sietar	atrebā-siete	—	—	#											
occupy	simple	3	future	atrebā-siet	atrebā-siont	—	—	atrebā-sietor	atrebā-siontor	—	—	#											
occupy	imperfective	1	past	atrebā-nna	atrebā-mes	—	—	atrebā-nnar	atrebā-mor	—	—	#											
occupy	imperfective	2	past	atrebāt-ās	atrebā-tē	—	—	atrebāt-ār	atrebā-tē	—	—	#											
occupy	imperfective	3	past	atrebā-to	atrebā-nto	—	—	atrebā-tor	atrebā-ntor	—	—	#											
occupy	perfective	1	past	atrebā-ssū	atrebā-ssamos	atrebā-ssīn	atrebā-ssīmos	atrebāt-ā/-os immi	atrebāt-ās/-oi emos	atrebāt-ā/-os buiū	atrebāt-ās/-oi buomos	#											
occupy	perfective	2	past	atrebā-sses	atrebā-ssate	atrebā-ssīs	atrebā-ssītē	atrebāt-ā/-os ei	atrebāt-ās/-oi esue	atrebāt-ā/-os bues	atrebāt-ās/-oi buete	#											
occupy	perfective	3	past	atrebā-sset	atrebā-ssar	atrebā-ssīt	atrebā-ssīnt	atrebāt-ā/-os essi	atrebāt-ās/-oi sent	atrebāt-ā/-os buet	atrebāt-ās/-oi buont	#											
exchange	simple	1	present	cambi-ū	cambī-mos	cambi-ān	cambī-omos	cambi-ūr	cambī-mor	cambi-ār	cambī-omor	#	A2										
exchange	simple	2	present	cambī-i	cambī-te	cambī-ei	cambī-ete	cambī-tūr	cambī-te	cambī-etār	cambī-ete	#											
exchange	simple	3	present	cambī-t	cambī-nt	cambī-et	cambī-ont	cambī-tor	cambī-ntor	cambī-etor	cambī-ontor	#											
exchange	simple	1	future	cambī-siū	cambī-siomos	—	—	cambī-siūr	cambī-siomor	—	—	#											
exchange	simple	2	future	cambī-sies	cambī-siete	—	—	cambī-sietār	cambī-siete	—	—	#											
exchange	simple	3	future	cambī-siet	cambī-siont	—	—	cambī-sietor	cambī-siontor	—	—	#											
exchange	imperfective	1	past	cambī-nna	cambī-mes	—	—	cambī-nnar	cambī-mor	—	—	#											
exchange	imperfective	2	past	cambī-tās	cambī-tē	—	—	cambī-tār	cambī-tē	—	—	#											
exchange	imperfective	3	past	cambī-to	cambī-nto	—	—	cambī-tor	cambī-ntor	—	—	#											
exchange	perfective	1	past	cambī-ssū	cambī-ssamos	cambī-ssīn	cambī-ssīmos	cambīt-ā/-os; immi	cambīt-ās/-oi; emos	cambīt-ā/-os; buiū	cambīt-ās/-oi; buomos	#											
exchange	perfective	2	past	cambī-sses	cambī-ssate	cambī-ssīs	cambī-ssīte	cambīt-ā/-os; 	cambīt-ās/-oi; 	cambīt-ā/-os; 	cambīt-ās/-oi;	#											
exchange	perfective	3	past	cambī-sset	cambī-sson	cambī-ssīt	cambī-ssīnt	cambīt-ā/-os; 	cambīt-ās/-oi; 	cambīt-ā/-os; 	cambīt-ās/-oi; 	#											
strike	simple	1	present	binǎ -mi	binǎ -mes(i)	beyas-ū	beyas-omos	—	—	—	—	#	A3										
strike	simple	2	present	binǎ -s(i)	binǎ -te(s)	beyas-es	beyas-ete	—	—	—	—	#											
strike	simple	3	present	binǎ -t(i)	binǎ -nt(i)	beyas-(e)t	beyas-int/ont	—	—	—	—	#											
strike	simple	1	future	beyas-yū	beyas-yomos	—	—	—	—	—	—	#											
strike	simple	2	future	beyas-yes	beyas-yete	—	—	—	—	—	—	#											
strike	simple	3	future	beyas-yet	beyas-yont?	—	—	—	—	—	—	#											
strike	imperfective	1	past	binǎ nna	binǎ massi	—	—	—	—	—	—	#											
strike	imperfective	2	past	binǎ tās ?	binătes	—	—	—	—	—	—	#											
strike	imperfective	3	past	binǎ tu	binǎ ntu	—	—	—	—	—	—	#											
strike	perfective	1	past	beba	bebame	beyas-īn	beyas-īmos	—	—	—	—	#											
strike	perfective	2	past	bebas?	bebate	beyas-īs	beyas-īte	—	—	—	—	#											
strike	perfective	3	past	bebe	bebyar	beyas-īt	beyas-īnt?; beyas-ī(n)tor	—	—	—	—	#											
provide	simple	1	present	rosmer-ū	rosmer-omos	rosmer-sū	rosmer-somos	rosmer-ūr	rosmer-omor	rosmer-sūr	rosmer-somor	#	B1										
provide	simple	2	present	rosmer-es	rosmer-ete	rosmer-ses	rosmer-sete	rosmer-etār	rosmer-ete	rosmer-setār	rosmer-sete	#											
provide	simple	3	present	rosmer-et	rosmer-ont	rosmer-set	rosmer-sont	rosmer-etor	rosmer-ontor	rosmer-setor	rosmer-sontor	#											
provide	simple	1	future	rosmer-siū	rosmer-siomos	—	—	rosmer-siūr	rosmer-siomor	—	—	#											
provide	simple	2	future	rosmer-sies	rosmer-siete	—	—	rosmer-sietār	rosmer-siete	—	—	#											
provide	simple	3	future	rosmer-siet	rosmer-siont	—	—	rosmer-sietor	rosmer-siontor	—	—	#											
provide	imperfective	1	past	rosmer-onna	rosmer-omes	—	—	rosmer-onnar	rosmer-omor	—	—	#											
provide	imperfective	2	past	rosmer-etās	rosmer-etē	—	—	rosmer-etār	rosmer-etē	—	—	#											
provide	imperfective	3	past	rosmer-eto	rosmer-onto	—	—	rosmer-etor	rosmer-ontor	—	—	#											
provide	perfective	1	past	rosmer-tū	rosmer-tomes	rosmer-sīn	rosmer-sīmos	rosmert-ā/-os immi	rosmert-ās/-oi emos	rosmert-ā/-os buiū	rosmert-ās/-oi buomos	#											
provide	perfective	2	past	rosmer-tes	rosmer-tete	rosmer-sīs	rosmer-sīte	rosmert-ā/-os ei	rosmert-ās/-oi esue	rosmert-ā/-os bues	rosmert-ās/-oi buete	#											
provide	perfective	3	past	rosmer-ti	rosmer-ton	rosmer-sīt	rosmer-sīnt	rosmert-ā/-os essi	rosmert-ās/-oi sent	rosmert-ā/-os buet	rosmert-ās/-oi buont	#											
kill	simple	1	present	org-ū	org-omos	orx-sū	orx-somos	org-ūr	org-omor	orx-sūr	orx-somor	#	B1										
kill	simple	2	present	org-es	org-ete	orx-ses	orx-sete	org-etār	org-ete	orx-setār	orx-sete	#											
kill	simple	3	present	org-et	org-ont	orx-set	orx-sont	org-etor	org-ontor	orx-setor	orx-sontor	#											
kill	simple	1	future	orx-siū	orx-siomos	—	—	orx-siūr	orx-siomor	—	—	#											
kill	simple	2	future	orx-sies	orx-siete	—	—	orx-sietār	orx-siete	—	—	#											
kill	simple	3	future	orx-siet	orx-siont	—	—	orx-sietor	orx-siontor	—	—	#											
kill	imperfective	1	past	org-onna	org-omes	—	—	org-onnar	org-omor	—	—	#											
kill	imperfective	2	past	org-etās	org-etē	—	—	org-etār	org-etē	—	—	#											
kill	imperfective	3	past	org-eto	org-onto	—	—	org-etor	org-ontor	—	—	#											
kill	perfective	1	past	orx-tū	orx-tomes	orx-sīn	orx-sīmos	orxt-ā/-os immi	orxt-ās/-oi emos	orxt-ā/-os buiū	orxt-ās/-oi buomos	#											
kill	perfective	2	past	orx-tes	orx-tete	orx-sīs	orx-sīte	orxt-ā/-os ei	orxt-ās/-oi esue	orxt-ā/-os bues	orxt-ās/-oi buete	#											
kill	perfective	3	past	orx-ti	orx-ton	orx-sīt	orx-sīnt	orxt-ā/-os essi	orxt-ās/-oi sent	orxt-ā/-os buet	orxt-ās/-oi buont	#											
see	simple	1	present	appis-ū	appis-omos	appis-sū	appis-somos	appis-ūr	appis-omor	appis-sūr	appis-somor	#	B1										
see	simple	2	present	appis-es	appis-ete	appis-ses	appis-sete	appis-etār	appis-ete	appis-setār	appis-sete	#											
see	simple	3	present	appis-et	appis-ont	appis-set	appis-sont	appis-etor	appis-ontor	appis-setor	appis-sontor	#											
see	simple	1	future	appis-siū	appis-siomos	—	—	appis-siūr	appis-siomor	—	—	#											
see	simple	2	future	appis-sies	appis-siete	—	—	appis-sietār	appis-siete	—	—	#											
see	simple	3	future	appis-siet	appis-siont	—	—	appis-sietor	appis-siontor	—	—	#											
see	imperfective	1	past	appis-onna	appis-omes	—	—	appis-onnar	appis-omor	—	—	#											
see	imperfective	2	past	appis-etās	appis-etē	—	—	appis-etār	appis-etē	—	—	#											
see	imperfective	3	past	appis-eto	appis-onto	—	—	appis-etor	appis-ontor	—	—	#											
see	perfective	1	past	adpepis-an	adpepis-ames	adpepis-sīn	adpepis-sīmos	appiss-ā/-os immi	appiss-ās/-oi emos	appiss-ā/-os buiū	appiss-ās/-oi buomos	#											
see	perfective	2	past	adpepis-as	adpepis-ate	adpepis-sīs	adpepis-sīte	appiss-ā/-os ei	appiss-ās/-oi esue	appiss-ā/-os bues	appiss-ās/-oi buete	#											
see	perfective	3	past	adpepis-e	adpepis-ar	adpepis-sīt	adpepis-sīnt	appiss-ā/-os essi	appiss-ās/-oi sent	appiss-ā/-os buet	appiss-ās/-oi buont	#											
heal	simple	1	present	slānosag-iū	slānosag-iomos	slānosag-ān	slānosag-aomos	slānosag-iūr	slānosag-iomor	slānosag-ār	slānosag-āomor	#	B2										
heal	simple	2	present	slānosag-ies	slānosag-iete	slānosag-ais	slānosag-aite	slānosag-ietar	slānosag-iete	slānosag-āitār	slānosag-āite	#											
heal	simple	3	present	slānosag-iet	slānosag-iont	slānosag-ait	slānosag-aont	slānosag-ietor	slānosag-iontor	slānosag-āitor	slānosag-āontor	#											
heal	simple	1	future	slānosax-siū	slānosax-siomos	—	—	slānosax-siūr	slānosax-siomor	—	—	#											
heal	simple	2	future	slānosax-sies	slānosax-siete	—	—	slānosax-sietār	slānosax-siete	—	—	#											
heal	simple	3	future	slānosax-siet	slānosax-siont	—	—	slānosax-sietor	slānosax-siontor	—	—	#											
heal	imperfective	1	past	slānosag-ionna	slānosag-iomes	—	—	slānosag-ionnar	slānosag-iomor	—	—	#											
heal	imperfective	2	past	slānosag-ietās	slānosag-ietē	—	—	slānosag-ietār	slānosag-ietē	—	—	#											
heal	imperfective	3	past	slānosag-ieto	slānosag-ionto	—	—	slānosag-ietor	slānosag-iontor	—	—	#											
heal	perfective	1	past	slānosiox-tū	slānosiox-tomes	slānosiox-sīn	slānosiox-sīmos	slānosaxt-ā/-os immi	slānosaxt-ās/-oi emos	slānosaxt-ā/-os buiū	slānosaxt-ās/-oi buomos	#											
heal	perfective	2	past	slānosiox-tes	slānosiox-tete	slānosiox-sīs	slānosiox-sīte	slānosaxt-ā/-os ei	slānosaxt-ās/-oi esue	slānosaxt-ā/-os bues	slānosaxt-ās/-oi buete	#											
heal	perfective	3	past	slānosiox-ti	slānosiox-ton	slānosiox-sīt	slānosiox-sīnt	slānosaxt-ā/-os essi	slānosaxt-ās/-oi sent	slānosaxt-ā/-os buet	slānosaxt-ās/-oi buont	#											
agree	simple	1	present	tang-ū	tang-omos	tanx-sū	tanx-somos	tang-ūr	tang-omor	tanx-sūr	tanx-somor	#	B3										
agree	simple	2	present	tang-es	tang-ete	tanx-ses	tanx-sete	tang-etār	tang-ete	tanx-setār	tanx-sete	#											
agree	simple	3	present	tang-et	tang-ont	tanx-set	tanx-sont	tang-etor	tang-ontor	tanx-setor	tanx-sontor	#											
agree	simple	1	future	tanx-siū	tanx-siomos	—	—	tanx-siūr	tanx-siomor	—	—	#											
agree	simple	2	future	tanx-sies	tanx-siete	—	—	tanx-sietār	tanx-siete	—	—	#											
agree	simple	3	future	tanx-siet	tanx-siont	—	—	tanx-sietor	tanx-siontor	—	—	#											
agree	imperfective	1	past	tang-onna	tang-omes	—	—	tang-onnar	tang-omor	—	—	#											
agree	imperfective	2	past	tang-etās	tang-etē	—	—	tang-etār	tang-etē	—	—	#											
agree	imperfective	3	past	tang-eto	tang-onto	—	—	tang-etor	tang-ontor	—	—	#											
agree	perfective	1	past	tag-ū	tag-omes	tax-sīn	tax-sīimos	taxt-ā/-os immi	taxt-ās/-oi emos	taxt-ā/-os buiū	taxt-ās/-oi buomos	#											
agree	perfective	2	past	tag-es	tag-ete	tax-sīs	tax-sīte	taxt-ā/-os ei	taxt-ās/-oi esue	taxt-ā/-os bues	taxt-ās/-oi buete	#											
agree	perfective	3	past	tag-i	tag-on	tax-sīt	tax-sīnt	taxt-ā/-os essi	taxt-ās/-oi sent	taxt-ā/-os buet	taxt-ās/-oi buont	#											
buy	simple	1	present	prina-mi	prina-mos	priā-n	pria-omos	prinā-r	prina-mor	priā-r	pria-omor	#	B4										
buy	simple	2	present	prina-i	prina-te	priai-i	priai-te	prina-tār	prina-te	priai-tār	priai-te	#											
buy	simple	3	present	prina-t	prina-nt	priai-t	pria-ont	prina-tor	prina-ntor	priai-tor	pria-ontor	#											
buy	simple	1	future	priasi-ū	priasi-omos	—	—	priasi-ūr	priasi-omor	—	—	#											
buy	simple	2	future	priasi-es	priasi-ete	—	—	priasi-etār	priasi-ete	—	—	#											
buy	simple	3	future	priasi-et	priasi-ont	—	—	priasi-etor	priasi-ontor	—	—	#											
buy	imperfective	1	past	prina-nna	prina-mes	—	—	prina-nnar	prina-mor	—	—	#											
buy	imperfective	2	past	prina-tās	prina-tē	—	—	prina-tār	prina-tē	—	—	#											
buy	imperfective	3	past	prina-to	prina-nto	—	—	prina-tor	prina-ntor	—	—	#											
buy	perfective	1	past	pipra-n	pipra-mes	priasī-n	priasī-mos	prit-ā/-os immi	prit-ās/-oi emos	prit-ā/-os buiū	prit-ās/-oi buomos	#											
buy	perfective	2	past	pipra-s	pipra-te	priasī-s	priasī-te	prit-ā/-os ei	prit-ās/-oi esue	prit-ā/-os bues	prit-ās/-oi buete	#											
buy	perfective	3	past	pipr-e	pipra-r	priasī-t	priasī-nt	prit-ā/-os essi	prit-ās/-oi sent	prit-ā/-os buet	prit-ās/-oi buont	#											
create	simple	1	present	prinu-mi	prinu-mos	priā-n	pria-omos	prinū-r	prinu-mor	prinā-r	prina-omor	#	B5										
create	simple	2	present	prinu-i	prinu-te	priai-i	priai-te	prinu-tār	prinu-te	prinai-tār	prinai-te	#											
create	simple	3	present	prinu-t	prinu-nt	priai-t	pria-ont	prinu-tor	prinu-ntor	prinai-tor	prina-ontor	#											
create	simple	1	future	prinasi-ū	prinasi-omos	—	—	prinasi-ūr	prinasi-omor	—	—	#											
create	simple	2	future	prinasi-es	prinasi-ete	—	—	prinasi-etūr	prinasi-ete	—	—	#											
create	simple	3	future	prinasi-et	prinasi-ont	—	—	prinasi-etor	prinasi-ontor	—	—	#											
create	imperfective	1	past	prinu-nna	prinu-mes	—	—	prinu-nnar	prinu-mor	—	—	#											
create	imperfective	2	past	prinu-tās	prinu-tē	—	—	prinu-tār	prinu-tē	—	—	#											
create	imperfective	3	past	prinu-to	prinu-nto	—	—	prinu-tor	prinu-ntor	—	—	#											
create	perfective	1	past	pipra-n	pipra-mes	priasī-n	priasī-mos	prīt-ā/-os immi	prīt-ās/-oi emos	prīt-ā/-os buiū	prīt-ās/-oi buomos	#											
create	perfective	2	past	pipra-s	pipra-te	priasī-s	priasī-te	prīt-ā/-os ei	prīt-ās/-oi esue	prīt-ā/-os bues	prīt-ās/-oi buete	#											
create	perfective	3	past	pipr-e	pipra-r	priasī-t	priasī-nt	prīt-ā/-os essi	prīt-ās/-oi sent	prīt-ā/-os buet	prīt-ās/-oi buont	#											
go	simple	1	present	ē-mi	ē-mos	ellā-n	ellā-omos	—	—	—	—	#	irregular										
go	simple	2	present	ē-i	ē-te	ellā-ii	ellā-ite	—	—	—	—	#											
go	simple	3	present	ē-t	ē-nt	ellā-it	ellā-ont	—	—	—	—	#											
go	simple	1	future	axsi-ūr	axsi-omor	—	—	—	—	—	—	#											
go	simple	2	future	axsi-etār	axsi-ete	—	—	—	—	—	—	#											
go	simple	3	future	axsi-etor	axsi-ontor	—	—	—	—	—	—	#											
go	imperfective	1	past	tēg-onna	tēg-omes	—	—	—	—	—	—	#											
go	imperfective	2	past	tēg-etās	tēg-etē	—	—	—	—	—	—	#											
go	imperfective	3	past	tēg-eto	tēg-onto	—	—	—	—	—	—	#											
go	perfective	1	past	lud-ū	lud-omes	ellāssī-n	ellāssī-mos	—	—	—	—	#											
go	perfective	2	past	lud-es	lud-ete	ellāssī-s	ellāssī-tē	—	—	—	—	#											
go	perfective	3	past	lud-i	lud-on	ellāssī-t	ellāssī-nt	—	—	—	—	#											
be	simple	1	present	immi	em(m)os	buiū	buomos	—	—	—	—	#	irregular										
be	simple	2	present	ei	esue	bues	buete	—	—	—	—	#											
be	simple	3	present	essi	sent(i)	buet	buont	—	—	—	—	#											
be	habitual	1	present	biiū	biiomos	—	—	—	—	—	—	#											
be	habitual	2	present	biies	biiete	—	—	—	—	—	—	#											
be	habitual	3	present	biiet	biiont	—	—	—	—	—	—	#											
be	simple	1	future	bisiū	bisiomos	—	—	—	—	—	—	#											
be	simple	2	future	bisies	bisiete	—	—	—	—	—	—	#											
be	simple	3	future	bisiet	bisiont	—	—	—	—	—	—	#											
be	imperfective	1	past	eia(n)	eiāmos	—	—	—	—	—	—	#											
be	imperfective	2	past	eiāi	eiāte	—	—	—	—	—	—	#											
be	imperfective	3	past	eiāt	eiānt	—	—	—	—	—	—	#											
be	perfective	1	past	būa(n)	būames	beionna	beiomos	—	—	—	—	#											
be	perfective	2	past	būas	būate	beiotās	beiotē	—	—	—	—	#											
be	perfective	3	past	būe	būar	beioto	beionto	—	—	—	—	#											
walk	simple	1	present	cerd-ū	cerd-omos	cerd-sū	cerd-somos	cerd-ūr	cerd-omor	cerd-sūr	cerd-somor	#	B2										
walk	simple	2	present	cerd-es	cerd-ete	cerd-ses	cerd-sete	cerd-etār	cerd-ete	cerd-setār	cerd-sete	#											
walk	simple	3	present	cerd-et	cerd-ont	cerd-set	cerd-sont	cerd-etor	cerd-ontor	cerd-setor	cerd-sontor	#											
walk	simple	1	future	cerd-siū	cerd-siomos	—	—	cerd-siūr	cerd-siomor	—	—	#											
walk	simple	2	future	cerd-sies	cerd-siete	—	—	cerd-sietār	cerd-siete	—	—	#											
walk	simple	3	future	cerd-siet	cerd-siont	—	—	cerd-sietor	cerd-siontor	—	—	#											
walk	imperfective	1	past	cerd-onna	cerd-omes	—	—	cerd-onnar	cerd-omor	—	—	#											
walk	imperfective	2	past	cerd-etās	cerd-etē	—	—	cerd-etār	cerd-etē	—	—	#											
walk	imperfective	3	past	cerd-eto	cerd-onto	—	—	cerd-etor	cerd-ontor	—	—	#											
walk	perfective	1	past	❔	❔	❔	❔	cerds-ā/-os immi	cerds-ās/-oi emos	cerds-ā/-os buiū	cerds-ās/-oi buomos	#											
walk	perfective	2	past	❔	❔	❔	❔	cerds-ā/-os ei	cerds-ās/-oi esue	cerds-ā/-os bues	cerds-ās/-oi buete	#											
walk	perfective	3	past	❔	❔	❔	❔	cerds-ā/-os essi	cerds-ās/-oi sent	cerds-ā/-os buet	cerds-ās/-oi buont	#											
carry	simple	1	present	bers-ū	bers-mos	bers-ān	bers-omos	bers-ūr	bers-mor	bers-ār	bers-omor	#											
carry	simple	2	present	bers-i	bers-te	bers-ei	bers-ete	bers-tūr	bers-te	bers-etār	bers-ete	#											
carry	simple	3	present	bers-t	bers-nt	bers-et	bers-ont	bers-tor	bers-ntor	bers-etor	bers-ontor	#											
carry	simple	1	future	bers-siū	bers-siomos	—	—	bers-siūr	bers-siomor	—	—	#											
